Jahr;Migrationsstatus;Geschlecht;Beruflicher Bildungsabschluss;Anzahl;Anzahl_Einheit;Bevölkerung   ;value_q
2024;Deutsche mit eigener Migrationserfahrung;weiblich;Akademische Abschlüsse;613;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Ausländer mit eigener Migrationserfahrung;männlich;Lehre / Berufsausbildung;814;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;weiblich;Promotion;8;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;()
2021;Ohne Migrationshintergrund;männlich;Mit beruflichem Bildungsabschluss;20925;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Insgesamt;Insgesamt;Promotion;1153;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;männlich;Insgesamt;24770;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Ohne Migrationshintergrund;Insgesamt;Akademische Abschlüsse;10365;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Insgesamt;Insgesamt;Promotion;1058;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Insgesamt;Insgesamt;Insgesamt;70759;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ohne Migrationshintergrund;Insgesamt;Promotion;896;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer ohne eigene Migrationserfahrung;männlich;Mit beruflichem Bildungsabschluss;301;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Ausländer mit eigener Migrationserfahrung;weiblich;Akademische Abschlüsse;1038;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;weiblich;Mit beruflichem Bildungsabschluss;5422;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Ausländer mit eigener Migrationserfahrung;männlich;Mit beruflichem Bildungsabschluss;1978;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche mit eigener Migrationserfahrung;männlich;Lehre / Berufsausbildung;899;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;männlich;Insgesamt;1931;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer mit eigener Migrationserfahrung;männlich;Insgesamt;4637;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Insgesamt;weiblich;Promotion;386;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer mit eigener Migrationserfahrung;männlich;Master;193;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche ohne eigene Migrationserfahrung;weiblich;Promotion;24;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Ohne Migrationshintergrund;Insgesamt;Akademische Abschlüsse;10385;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;weiblich;In schulischer oder beruflicher Ausbildung;1882;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;männlich;Master;703;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Insgesamt;3719;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Mit Migrationshintergrund;männlich;Bachelor;395;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche ohne eigene Migrationserfahrung;weiblich;Promotion;20;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Insgesamt;Insgesamt;Ohne beruflichen Bildungsabschluss;19004;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Insgesamt;männlich;In schulischer oder beruflicher Ausbildung;2943;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Deutsche mit eigener Migrationserfahrung;weiblich;Fachschulabschluss;264;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;männlich;In schulischer oder beruflicher Ausbildung;425;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Deutsche mit eigener Migrationserfahrung;männlich;Master;77;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer mit eigener Migrationserfahrung;männlich;Fachschulabschluss;210;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;Insgesamt;Promotion;19;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Spätaussiedler;Insgesamt;Master;34;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ohne Migrationshintergrund;weiblich;Ohne beruflichen Bildungsabschluss;6180;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer mit eigener Migrationserfahrung;männlich;Bachelor;231;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;männlich;Insgesamt;532;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche mit eigener Migrationserfahrung;Insgesamt;Bachelor;253;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Ausländer ohne eigene Migrationserfahrung;weiblich;Ohne beruflichen Bildungsabschluss;194;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;Insgesamt;Akademische Abschlüsse;10834;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Ausländer ohne eigene Migrationserfahrung;männlich;Master;9;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;()
2021;Ausländer mit eigener Migrationserfahrung;Insgesamt;Promotion;90;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;weiblich;Fachschulabschluss;206;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Ausländer mit eigener Migrationserfahrung;weiblich;Mit beruflichem Bildungsabschluss;1493;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;männlich;Bachelor;87;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;männlich;Akademische Abschlüsse;188;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Spätaussiedler;männlich;Diplom;106;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;männlich;Lehre / Berufsausbildung;11465;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Ausländer ohne eigene Migrationserfahrung;männlich;Mit beruflichem Bildungsabschluss;290;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche mit eigener Migrationserfahrung;Insgesamt;Bachelor;151;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;4490;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Ohne Migrationshintergrund;weiblich;Fachschulabschluss;3280;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;weiblich;Mit beruflichem Bildungsabschluss;1740;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer ohne eigene Migrationserfahrung;männlich;Nicht in schulischer oder beruflicher Ausbildung;187;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Insgesamt;Insgesamt;Ohne beruflichen Bildungsabschluss;19707;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Diplom;38;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Mit beruflichem Bildungsabschluss;498;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche ohne eigene Migrationserfahrung;männlich;Akademische Abschlüsse;371;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Deutsche mit eigener Migrationserfahrung;männlich;Promotion;43;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Insgesamt;männlich;Ohne beruflichen Bildungsabschluss;9154;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;männlich;In schulischer oder beruflicher Ausbildung;16;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Insgesamt;männlich;Nicht in schulischer oder beruflicher Ausbildung;6244;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;Insgesamt;Fachschulabschluss;1176;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;weiblich;Mit beruflichem Bildungsabschluss;970;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ohne Migrationshintergrund;männlich;Promotion;547;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;weiblich;Master;23;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ohne Migrationshintergrund;Insgesamt;Mit beruflichem Bildungsabschluss;41728;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;319;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Insgesamt;Insgesamt;Ohne beruflichen Bildungsabschluss;18426;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;männlich;Promotion;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2020;Ohne Migrationshintergrund;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;6569;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer mit eigener Migrationserfahrung;Insgesamt;Diplom;676;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Insgesamt;männlich;Bachelor;1485;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Mit beruflichem Bildungsabschluss;2009;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;männlich;Promotion;11;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer ohne eigene Migrationserfahrung;männlich;Promotion;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2023;Deutsche mit eigener Migrationserfahrung;weiblich;Diplom;331;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche ohne eigene Migrationserfahrung;männlich;Akademische Abschlüsse;311;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer ohne eigene Migrationserfahrung;weiblich;Master;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2023;Mit Migrationshintergrund;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;7062;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer mit eigener Migrationserfahrung;weiblich;Lehre / Berufsausbildung;658;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;weiblich;Mit beruflichem Bildungsabschluss;230;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer mit eigener Migrationserfahrung;weiblich;Insgesamt;4033;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Insgesamt;Insgesamt;Mit beruflichem Bildungsabschluss;50704;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;Insgesamt;Ohne beruflichen Bildungsabschluss;10428;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Promotion;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2023;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Fachschulabschluss;81;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Ohne beruflichen Bildungsabschluss;1713;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;Insgesamt;Akademische Abschlüsse;993;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;Insgesamt;In schulischer oder beruflicher Ausbildung;42;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ohne Migrationshintergrund;männlich;Bachelor;766;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;Insgesamt;Mit beruflichem Bildungsabschluss;8976;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;weiblich;Fachschulabschluss;163;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Insgesamt;weiblich;Diplom;3879;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;weiblich;Lehre / Berufsausbildung;594;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Insgesamt;Insgesamt;Bachelor;2821;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ohne Migrationshintergrund;Insgesamt;Fachschulabschluss;6129;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;männlich;In schulischer oder beruflicher Ausbildung;649;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;weiblich;In schulischer oder beruflicher Ausbildung;1667;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Insgesamt;männlich;Akademische Abschlüsse;7213;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche mit eigener Migrationserfahrung;weiblich;In schulischer oder beruflicher Ausbildung;79;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Mit Migrationshintergrund;Insgesamt;Ohne beruflichen Bildungsabschluss;7998;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ohne Migrationshintergrund;Insgesamt;Bachelor;1696;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Mit Migrationshintergrund;weiblich;Akademische Abschlüsse;1983;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Insgesamt;Insgesamt;Fachschulabschluss;7305;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Mit beruflichem Bildungsabschluss;2414;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Insgesamt;weiblich;Bachelor;1199;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;Insgesamt;Ohne beruflichen Bildungsabschluss;9545;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Ausländer ohne eigene Migrationserfahrung;männlich;In schulischer oder beruflicher Ausbildung;57;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer mit eigener Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;2473;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ohne Migrationshintergrund;weiblich;Lehre / Berufsausbildung;13055;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche mit eigener Migrationserfahrung;weiblich;Lehre / Berufsausbildung;942;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Mit Migrationshintergrund;männlich;Diplom;775;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche ohne eigene Migrationserfahrung;weiblich;Bachelor;87;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;weiblich;In schulischer oder beruflicher Ausbildung;628;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer ohne eigene Migrationserfahrung;weiblich;Fachschulabschluss;35;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;Insgesamt;Diplom;1689;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Ohne Migrationshintergrund;männlich;Ohne beruflichen Bildungsabschluss;4149;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Ausländer mit eigener Migrationserfahrung;weiblich;Diplom;341;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;Insgesamt;Lehre / Berufsausbildung;1187;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer mit eigener Migrationserfahrung;Insgesamt;Mit beruflichem Bildungsabschluss;3177;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer ohne eigene Migrationserfahrung;Insgesamt;In schulischer oder beruflicher Ausbildung;86;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Ausländer ohne eigene Migrationserfahrung;weiblich;Lehre / Berufsausbildung;157;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;Insgesamt;Bachelor;80;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Deutsche mit eigener Migrationserfahrung;Insgesamt;Promotion;84;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Deutsche mit eigener Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;854;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer mit eigener Migrationserfahrung;männlich;Promotion;69;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer mit eigener Migrationserfahrung;männlich;Promotion;76;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Spätaussiedler;Insgesamt;In schulischer oder beruflicher Ausbildung;36;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ohne Migrationshintergrund;weiblich;Master;515;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Insgesamt;weiblich;Nicht in schulischer oder beruflicher Ausbildung;7584;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;weiblich;Insgesamt;8488;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;weiblich;Diplom;3069;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Deutsche mit eigener Migrationserfahrung;weiblich;Master;71;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer ohne eigene Migrationserfahrung;weiblich;Mit beruflichem Bildungsabschluss;255;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ohne Migrationshintergrund;weiblich;Lehre / Berufsausbildung;12904;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;männlich;Diplom;146;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Fachschulabschluss;291;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;weiblich;Promotion;8;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;()
2021;Deutsche ohne eigene Migrationserfahrung;männlich;Nicht in schulischer oder beruflicher Ausbildung;291;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche mit eigener Migrationserfahrung;Insgesamt;Promotion;70;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Insgesamt;Insgesamt;Akademische Abschlüsse;14921;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Ausländer mit eigener Migrationserfahrung;Insgesamt;Fachschulabschluss;367;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ohne Migrationshintergrund;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;6767;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Insgesamt;weiblich;Lehre / Berufsausbildung;14835;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Ausländer ohne eigene Migrationserfahrung;weiblich;Fachschulabschluss;41;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer ohne eigene Migrationserfahrung;weiblich;Lehre / Berufsausbildung;155;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Deutsche ohne eigene Migrationserfahrung;weiblich;Bachelor;137;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Ausländer ohne eigene Migrationserfahrung;weiblich;Master;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2020;Ausländer mit eigener Migrationserfahrung;weiblich;Master;172;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Insgesamt;Insgesamt;Master;1809;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Insgesamt;männlich;In schulischer oder beruflicher Ausbildung;3120;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer mit eigener Migrationserfahrung;Insgesamt;In schulischer oder beruflicher Ausbildung;630;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;Insgesamt;Insgesamt;20190;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Ausländer ohne eigene Migrationserfahrung;weiblich;Bachelor;14;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Spätaussiedler;männlich;Lehre / Berufsausbildung;584;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer mit eigener Migrationserfahrung;weiblich;Lehre / Berufsausbildung;648;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
